Source,Target,Type,Id,Label,timeset,Weight
1061431924,1005397587,Undirected,99665,,,5
1061431924,1005922729,Undirected,99666,,,8
1061431924,1006263686,Undirected,99667,,,1
1061431924,1006914438,Undirected,99668,,,2
1061431924,1006939659,Undirected,99669,,,1
1061431924,1007884158,Undirected,99670,,,1
1061431924,1008584239,Undirected,99671,,,1
1061431924,1017061552,Undirected,99672,,,1
1061431924,1025796417,Undirected,99673,,,1
1061431924,1031894080,Undirected,99674,,,1
1061431924,1047982097,Undirected,99675,,,7
1061431924,1048003556,Undirected,99676,,,1
1061431924,1048391437,Undirected,99677,,,2
1061431924,1064091441,Undirected,99678,,,1
1061431924,1067317052,Undirected,99679,,,1
1061431924,1068152835,Undirected,99680,,,26
1061431924,1068487996,Undirected,99681,,,2
1061431924,1068701767,Undirected,99682,,,3
1061431924,1069291200,Undirected,99683,,,3
1061431924,1078952127,Undirected,99684,,,3
1061431924,1083440299,Undirected,99685,,,1
1061431924,1136428033,Undirected,99686,,,1
1061431924,1149969670,Undirected,99687,,,1
1061431924,1184699524,Undirected,99688,,,1
1061431924,1215798924,Undirected,99689,,,1
1061431924,1229910485,Undirected,99690,,,1
1061431924,1249286279,Undirected,99691,,,1
1061431924,1262439586,Undirected,99692,,,1
1061431924,1357128453,Undirected,99693,,,3
1061431924,1361074455,Undirected,99694,,,3
1061431924,1469494306,Undirected,99695,,,1
1061431924,1481578235,Undirected,99696,,,4
1061431924,1561020337,Undirected,99697,,,1
1061437468,1004069147,Undirected,99698,,,2
1061437468,1108225888,Undirected,99699,,,1
1061442151,1136435312,Undirected,99700,,,1
1061460812,1005665139,Undirected,99701,,,1
1061510840,1002483751,Undirected,99702,,,1
1061510840,1005338558,Undirected,99703,,,1
1061510840,1005866359,Undirected,99704,,,1
1061510840,1006227643,Undirected,99705,,,1
1061510840,1006457889,Undirected,99706,,,1
1061510840,1006914438,Undirected,99707,,,1
1061510840,1008702726,Undirected,99708,,,1
1061510840,1062052894,Undirected,99709,,,1
1061510840,1069291200,Undirected,99710,,,2
1061510840,1074370071,Undirected,99711,,,1
1061510840,1124113906,Undirected,99712,,,1
1061510840,1140394567,Undirected,99713,,,1
1061510840,1232941545,Undirected,99714,,,1
1061510840,1303415556,Undirected,99715,,,1
1061510840,1309728364,Undirected,99716,,,1
1061510840,1490158806,Undirected,99717,,,1
1061510840,1541864736,Undirected,99718,,,1
1061526547,129079785,Undirected,99719,,,1
1061526547,1006914438,Undirected,99720,,,1
1061540854,1141796002,Undirected,99721,,,1
1061540854,1179264892,Undirected,99722,,,1
1061541822,1005665139,Undirected,99723,,,1
1061541822,1481578235,Undirected,99724,,,1
1061549748,1002483751,Undirected,99725,,,2
1061549748,1005280116,Undirected,99726,,,1
1061549748,1005665139,Undirected,99727,,,2
1061549748,1068487996,Undirected,99728,,,1
1061561101,1002739327,Undirected,99729,,,1
1061578970,129079785,Undirected,99730,,,1
1061578970,1006914438,Undirected,99731,,,1
1061578970,1498171234,Undirected,99732,,,1
1061637101,1004069147,Undirected,99733,,,1
1061637101,1108225888,Undirected,99734,,,1
1061656464,1024374166,Undirected,99735,,,1
1061672584,1002739327,Undirected,99736,,,3
1061672584,1004128493,Undirected,99737,,,1
1061672584,1005376606,Undirected,99738,,,1
1061672584,1006273170,Undirected,99739,,,1
1061672584,1007007698,Undirected,99740,,,1
1061672584,1008702726,Undirected,99741,,,1
1061672584,1018944837,Undirected,99742,,,1
1061672584,1068487996,Undirected,99743,,,1
1061683932,1002483751,Undirected,99744,,,1
1061778981,1004576149,Undirected,99745,,,1
1061784304,1001657916,Undirected,99746,,,1
1061784304,1002688148,Undirected,99747,,,1
1061784304,1005866359,Undirected,99748,,,1
1061784304,1007205132,Undirected,99749,,,7
1061784304,1007936468,Undirected,99750,,,1
1061784304,1062062882,Undirected,99751,,,1
1061784304,1064889654,Undirected,99752,,,1
1061784304,1087070863,Undirected,99753,,,1
1061784304,1092400246,Undirected,99754,,,1
1061784304,1105500688,Undirected,99755,,,1
1061784304,1202988976,Undirected,99756,,,1
1061784304,1355963561,Undirected,99757,,,1
1061784304,1385292826,Undirected,99758,,,1
1061784304,1410147237,Undirected,99759,,,1
1061784304,1445349980,Undirected,99760,,,1
1061790762,1368575513,Undirected,99761,,,1
1061824202,1006939659,Undirected,99762,,,2
1061824202,1068487996,Undirected,99763,,,1
1061840187,1002062924,Undirected,99764,,,1
1061840187,1005280116,Undirected,99765,,,1
1061840187,1068692813,Undirected,99766,,,1
1061840187,1097819934,Undirected,99767,,,1
1061840187,1149824176,Undirected,99768,,,1
1061847473,1228946795,Undirected,99769,,,2
1061870815,1056291192,Undirected,99770,,,1
1061870815,1132277063,Undirected,99771,,,2
1061870815,1133896915,Undirected,99772,,,2
1061870815,1140394567,Undirected,99773,,,1
1061870815,1212387582,Undirected,99774,,,1
1061870815,1303273693,Undirected,99775,,,1
1061870815,1385292826,Undirected,99776,,,1
1061870815,1410147237,Undirected,99777,,,1
1061870815,1475144088,Undirected,99778,,,1
1061888783,1068487996,Undirected,99779,,,2
1061888783,1140394567,Undirected,99780,,,1
1061915912,1001976122,Undirected,99781,,,1
1061917174,1006939659,Undirected,99782,,,2
1061917174,1050921798,Undirected,99783,,,1
1061917174,1265450484,Undirected,99784,,,1
1061924899,1002739327,Undirected,99785,,,1
1061960888,1000960164,Undirected,99786,,,2
1061960888,1001156199,Undirected,99787,,,1
1061960888,1001748133,Undirected,99788,,,2
1061960888,1004128493,Undirected,99789,,,3
1061960888,1005280116,Undirected,99790,,,1
1061960888,1005338558,Undirected,99791,,,1
1061960888,1007007698,Undirected,99792,,,1
1061960888,1007884158,Undirected,99793,,,1
1061960888,1064916983,Undirected,99794,,,1
1061960888,1068487996,Undirected,99795,,,2
1061960888,1069291200,Undirected,99796,,,2
1061960888,1086482465,Undirected,99797,,,1
1061960888,1130196213,Undirected,99798,,,2
1061960888,1333872641,Undirected,99799,,,1
1061977198,1006263686,Undirected,99800,,,1
1061984657,1002765601,Undirected,99801,,,1
1062001140,1004069147,Undirected,99802,,,2
1062001140,1006445097,Undirected,99803,,,1
1062001140,1006914438,Undirected,99804,,,1
1062001140,1027676885,Undirected,99805,,,1
1062001140,1286006168,Undirected,99806,,,1
1062001140,1367035239,Undirected,99807,,,1
1062052894,1003883923,Undirected,99809,,,1
1062052894,1088267442,Undirected,99811,,,5
1062052894,1133896915,Undirected,99812,,,5
1062052894,1262775998,Undirected,99813,,,1
1062052894,1432274763,Undirected,99814,,,1
1062052894,1445349980,Undirected,99815,,,1
1062052894,1490036744,Undirected,99816,,,2
1062055989,1485221321,Undirected,99817,,,1
1062062882,1002688148,Undirected,99819,,,1
1062062882,1003883923,Undirected,99820,,,2
1062062882,1004128493,Undirected,99821,,,2
1062062882,1005665139,Undirected,99822,,,1
1062062882,1007884158,Undirected,99824,,,1
1062062882,1075603596,Undirected,99825,,,1
1062062882,1088267442,Undirected,99826,,,1
1062062882,1133896915,Undirected,99827,,,8
1062062882,1172379848,Undirected,99828,,,3
1062062882,1212387582,Undirected,99829,,,1
1062062882,1265303172,Undirected,99830,,,4
1062062882,1303016550,Undirected,99831,,,3
1062062882,1371150847,Undirected,99832,,,1
1062062882,1397867917,Undirected,99833,,,2
1062062882,1450293427,Undirected,99834,,,2
1062085499,1001621611,Undirected,99835,,,1
1062085499,1002738390,Undirected,99836,,,2
1062085499,1004128493,Undirected,99837,,,2
1062085499,1004303329,Undirected,99838,,,1
1062085499,1004635542,Undirected,99839,,,1
1062085499,1006212930,Undirected,99840,,,1
1062085499,1039531427,Undirected,99841,,,2
1062085499,1047982097,Undirected,99842,,,1
1062085499,1058667053,Undirected,99843,,,4
1062085499,1061431924,Undirected,99844,,,1
1062085499,1068487996,Undirected,99845,,,1
1062085499,1068792040,Undirected,99846,,,1
