Id,Label,timeset,modularity_class,Degree
1159,beloved,,144,3
1160,belt,,1888,4
1161,beltex,,445,3
1162,ben,,16,8
1163,bench,,71,6
1164,bend,,216,2
1165,beneath,,144,5
1166,benedwards,,75,4
1167,benefactor,,120,6
1168,beneficiary,,2064,4
1169,benefit,,217,2
1170,benefiting,,2157,5
1171,benfromdallas,,2063,4
1172,bengal,,95,7
1173,benghazi,,2060,4
1174,benjamin,,2227,5
1175,bennett,,98,4
1176,bensasse,,2178,8
1177,benson,,70,5
1178,bent,,2231,7
1179,bentleyfortrump,,218,3
1180,bentrawlins,,2056,4
1181,bentrolling,,150,4
1182,beny,,70,5
1183,bergdahl,,2129,5
1184,berglund,,2235,8
1185,berlin,,184,6
