Id,Label,timeset,count,views,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality
1261796069,Catalanbackup,,86,0,0,7,7,4,0.406977,0.504762,0,0,0.006508,0.000085,0
1261984434,XstjType,,20,0,0,4,4,3,0.541667,0.628205,0,0,0.020766,0.000085,0
1262361785,hu1280nxz5dfg8haw,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1262415115,OneTopProxy,,68,0,0,4,4,3,0.52,0.615385,0,0,0.031764,0.000085,0
1262644793,kafe_kholabad,,49,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1262868214,Mnvdarsam,,53,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1262981740,sltankaldha,,2,0,0,1,1,1,1,1,0,0,0,0.000085,0
1263001621,zbxkdkldldkkd,,61,0,0,3,3,5,0.393258,0.450952,0,0,0.023728,0.000085,0
1263177583,AlliesPL,,17,0,0,3,3,5,0.393258,0.450952,0,0,0.023728,0.000085,0
1263306750,VideoStoryia,,59,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1263836215,Shoger_mame,,62,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1264152343,one1xbet_iran,,15,4,0,2,2,1,1,1,0,0,0,0.000085,0
1264166508,tikobet90,,30,1058,1,0,1,0,0,0,0,0,0,0.000109,0.000696
1264270356,Futball120_Orgg,,74,0,0,3,3,1,1,1,0,0,0.000226,0.000085,0
1264369151,flaneur1400,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1264425134,Neroow,,52,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1264495054,TokhmiStoriies,,57,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1264893862,ManchesterUnited_Liverpool,,112,0,0,3,3,1,1,1,0,0,0.000226,0.000085,0
1265046381,Boys_behesht,,3,0,0,1,1,5,0.254545,0.309524,0,0,0.000208,0.000085,0
1265403259,madrid_phantoms,,38,0,0,1,1,2,0.6,0.666667,0,0,0.000085,0.000085,0
1265742358,shartbet_1,,40,0,0,4,4,3,0.666667,0.805556,0,0,0,0.000085,0
1265761955,COTTAGEMUSIC,,45,0,0,4,4,3,0.52,0.615385,0,0,0.036597,0.000085,0
1265788841,Haghayeghebastani,,7,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1265837109,lmotivational,,56,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1266394468,melbet_chanel_vip,,19,0,0,1,1,7,0.217391,0.253129,0,0,0.001603,0.000085,0
1266434773,football_jahaan,,32,0,0,4,4,4,0.393258,0.461905,0,0,0.005592,0.000085,0
1266502212,uwin_ir,,32,19,0,1,1,2,0.6,0.666667,0,0,0,0.000085,0
1266574607,Twitter_Abi,,63,0,0,2,2,2,0.75,0.833333,0,0,0.000183,0.000085,0
1266612903,parmisdance,,65,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1266785220,romabet0,,6,185,5,3,8,6,0.272,0.335294,2,0.000256,0.002499,0.008236,0.01212
1266797095,red6news,,84,0,0,3,3,1,1,1,0,0,0.000226,0.000085,0
1267012061,Funnewsfootball,,67,0,0,3,3,5,0.393258,0.450952,0,0,0.023728,0.000085,0
1267036937,IRfcjuventus,,7,0,0,2,2,5,0.384615,0.431905,0,0,0.021084,0.000085,0
1267052892,MusiC_Si3TeMiii,,59,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1267055469,News4ic,,42,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1267105898,cinema_filmmmm,,4,4676,23,1,24,5,0.254545,0.309524,14,0.004615,0.000208,0.0007,0.016016
1267540411,LiRooS,,44,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1267908766,Denamite,,64,0,0,3,3,4,0.376344,0.435714,0,0,0.007416,0.000085,0
1268034066,bet5bet5,,32,20,1,0,1,0,0,0,0,0,0,0.000157,0.000696
1268249941,akshay_naab,,42,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1268733645,Rahavardksh,,2,0,0,1,1,2,0.666667,0.75,0,0,0,0.000085,0
1269064697,CIRISTINO_RONALDO,,63,0,0,4,4,4,0.444444,0.5,0,0,0.023018,0.000085,0
1269239391,Raghs_o_clip,,19,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1269362795,TimeChay,,55,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1269491408,Troll_Footbally,,37,0,0,3,3,4,0.376344,0.435714,0,0,0.005107,0.000085,0
1269591332,TheHozhin,,115,0,0,7,7,4,0.460526,0.542857,0,0,0.02961,0.000085,0
1269687397,PlusMTProto,,49,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1269746209,new_onlin,,44,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1270292466,pashm_rizoun,,68,0,0,5,5,3,0.565217,0.666667,0,0,0.022113,0.000085,0
1270315942,kiri_story,,68,0,0,4,4,3,0.541667,0.628205,0,0,0.020909,0.000085,0
1270400107,transfersmarket_official,,69,0,0,4,4,4,0.393258,0.461905,0,0,0.005592,0.000085,0
1270474935,Majale_Pezeshkie,,42,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1270974886,jooonbabaa,,54,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1271049601,Kick1Bet,,122,63,1,1,2,1,1,1,0,0,0,0.000121,0.000696
1271052748,gole_roz1115,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1271084917,asheghaneha1,,49,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1271253978,jjxjddjjd,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1271407362,kajiut,,165,0,0,8,8,4,0.466667,0.557143,0,0,0.033352,0.000085,0
1271494991,riverpoker_river_poker_riverbet,,7,0,0,2,2,4,0.454545,0.616667,0,0,0,0.000085,0
1272175999,sedaisomarin,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1272809577,FIXED_BETTT,,114,743,0,2,2,1,1,1,0,0,0,0.000085,0
1272944239,Twitter120,,8,0,0,2,2,5,0.299145,0.353333,0,0,0.000986,0.000085,0
1273215924,lebenistleight,,2,0,0,1,1,1,1,1,0,0,0,0.000085,0
1273728718,Anti_chaghalan,,38,0,0,1,1,2,0.6,0.666667,0,0,0.000085,0.000085,0
1273886742,one1kickbet,,110,0,0,2,2,1,1,1,0,0,0,0.000085,0
1273969871,AbanTetheri,,7,0,0,1,1,1,1,1,0,0,0,0.000085,0
1274026378,bacheezafi,,36,0,0,2,2,4,0.371429,0.455128,0,0,0.017429,0.000085,0
1274180755,danestanihi_lazem,,2,0,0,1,1,1,1,1,0,0,0.000433,0.000085,0
1274210638,super_6ix,,28,33,4,0,4,0,0,0,0,0,0,0.000374,0.002785
1274327298,musickurdi01,,100,0,0,4,4,4,0.443038,0.5,0,0,0.025338,0.000085,0
1274341821,Daft0ri,,56,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1274602819,kikimanoto,,20,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1275113877,backupci3,,68,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1275426409,ChanneLNavadOfficiaL,,97,0,0,4,4,4,0.393258,0.461905,0,0,0.005592,0.000085,0
1275667875,OfficialEhsasat,,57,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1275787522,HotBall_News,,62,0,0,3,3,5,0.393258,0.450952,0,0,0.023728,0.000085,0
1275915305,hazaratbet,,55,0,0,3,3,7,0.235632,0.303484,0,0,0.000001,0.000085,0
1276037934,bokoondaro,,40,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1276060756,TajDailyNews,,1,0,0,1,1,1,1,1,0,0,0.000038,0.000085,0
1276397764,Educatioonn,,42,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1276453019,KiriSports,,58,0,0,3,3,1,1,1,0,0,0.000226,0.000085,0
1276470410,razaz30,,2,0,0,1,1,1,1,1,0,0,0,0.000085,0
1276525253,OfficialNavadTv,,14,0,0,2,2,5,0.384615,0.431905,0,0,0.021084,0.000085,0
1276697415,empttyplace,,2,3,0,1,1,1,1,1,0,0,0,0.000085,0
1277083730,ootopia,,3,0,0,1,1,5,0.254545,0.309524,0,0,0.000208,0.000085,0
1277393204,BetRaryon,,135,768,2,0,2,0,0,0,0,0,0,0.000229,0.001393
1277674758,football_tnz,,57,0,0,4,4,4,0.393258,0.461905,0,0,0.005592,0.000085,0
1277773377,zobahan_club,,39,0,0,2,2,2,0.75,0.833333,0,0,0.000128,0.000085,0
1277836634,campe_azad,,67,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1278233628,Ribandfootball,,24,0,0,4,4,5,0.4,0.466204,0,0,0.023767,0.000085,0
1278505116,EsteghlaliFans,,91,0,0,3,3,5,0.393258,0.450952,0,0,0.023728,0.000085,0
1278677719,JJ_VO,,54,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1278826513,jokk_funn,,80,0,0,6,6,3,0.590909,0.705128,0,0,0.023374,0.000085,0
1278922615,khando_pareh,,97,0,0,6,6,3,0.590909,0.705128,0,0,0.023374,0.000085,0
1279727614,radiokocsher,,54,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1279838540,dollar24gy,,35,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1280385483,TWEETPSG,,57,0,0,5,5,5,0.402299,0.479524,0,0,0.027895,0.000085,0
1280415602,lolomloo,,39,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1281103002,Akhbar_fouriyy,,171,0,0,8,8,4,0.466667,0.557143,0,0,0.033352,0.000085,0
1281278376,onekickbetir,,6,0,0,1,1,1,1,1,0,0,0,0.000085,0
1281453353,trustwalletv,,7,0,0,1,1,1,1,1,0,0,0,0.000085,0
1281695564,nit_rosinmbots,,14,97,4,0,4,0,0,0,0,0,0,0.000374,0.002785
1281835623,andishevasedayiranian,,7,0,0,1,1,1,1,1,0,0,0,0.000085,0
1281864999,Heroin_Caption,,41,0,0,6,6,3,0.590909,0.705128,0,0,0.023374,0.000085,0
1282011409,secret_proxy,,53,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1282192636,quiizRapii,,88,0,0,6,6,5,0.406977,0.49381,0,0,0.029831,0.000085,0
1282279023,Dokhtari_k_mide,,189,0,0,6,6,5,0.315315,0.42,0,0,0.002075,0.000085,0
1282296527,juventusfans_ir,,1,0,0,1,1,6,0.307692,0.349074,0,0,0.000012,0.000085,0
1282528771,smartbet_channel,,42,1,6,5,11,6,0.297101,0.38374,8.75,0.000101,0.000891,0.000247,0.005328
1282753792,ZXZXhdg,,109,0,0,10,10,4,0.492958,0.592857,0,0,0.03538,0.000085,0
1283175836,Dollars_ll,,37,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1283342498,footballwidenews,,78,0,0,2,2,2,0.75,0.833333,0,0,0.000183,0.000085,0
1283459521,avaaantazh,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1283602370,zelzelairan,,40,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1283970648,canalMelBet,,192,64,2,0,2,0,0,0,0,0,0,0.000338,0.001555
1284039763,iranbook_gp,,4,0,0,1,1,1,1,1,0,0,0,0.000085,0
1284084733,Fotbalvazeesh,,16,0,0,2,2,5,0.267857,0.355556,0,0,0.000313,0.000085,0
1284275699,Fit_raqs,,139,0,0,7,7,4,0.460526,0.542857,0,0,0.031441,0.000085,0
1284676001,afsourdam,,51,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1284755955,amirarsalan_motahari_fans,,1,0,0,1,1,1,1,1,0,0,0.000038,0.000085,0
1285037484,bitcoiniry,,7,2551,4,0,4,0,0,0,0,0,0,0.000374,0.002785
1285115481,SaniDeyillar1,,44,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1285126707,montakhabsal,,2,0,0,1,1,1,1,1,0,0,0,0.000085,0
1285166091,QuizSporte,,64,0,0,2,2,2,0.75,0.833333,0,0,0.000183,0.000085,0
1285237424,dolar11d,,53,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1285735335,fact_worlld,,57,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1285772305,ArsenalFcIR,,34,0,0,3,3,5,0.393258,0.450952,0,0,0.023728,0.000085,0
1285855775,national_caffe,,1,3,1,0,1,0,0,0,0,0,0,0.000157,0.000696
1285856755,rozhanuu,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1285907116,tweettism,,69,0,0,5,5,3,0.541667,0.653846,0,0,0.039923,0.000085,0
1286117197,FOOTKHABAR_85,,114,437,137,1,138,2,0.666667,0.75,2.5,0.004343,0.000085,0.097366,0.184994
1286688958,Elmeabjad,,1,0,0,1,1,1,1,1,0,0,0,0.000085,0
1286763131,Old_Ax,,60,3300,562,1,563,3,0.428571,0.472222,941,0.410221,0.016887,0.040297,0.512769
